feature,importance
socioeconomic_class,0.030349148
is_baby_parent,0.05566421
is_pet_owner,0.039774943
is_female,0.06365545
office_ratio,0.04045052
months_since_acquisition,0.036183838
order_value_stddev,0.038016982
basket_size_stddev,0.030707872
maximum_order_value,0.05760336
total_orders,0.0729438
maximum_price_point,0.055976562
orders_with_discount_ratio,0.030051572
weekend_order_ratio,0.03100347
night_order_ratio,0.029199446
abs,0.033148486
aov,0.028779956
rte_ratio,0.04913461
coffee_ratio,0.03767812
health_and_wellness_ratio,0.039437834
unique_views_in_cat,0.03927391
unique_products_viewed_in_cat,0.100629725
search_to_pdp_ratio,0.06033614
