Model,Anchor Date,Use Case,Filtered FPs,Accuracy,AUC,Precision,Recall,Capture Rate (Recall @K =10%),Baseline Conversion Rate,Precision at K
logistic,2025-11-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.6715583508036338,0.733141112966902,0.0422300811316829,0.6789297658862876,0.2876254180602006,0.0208944793850454,0.0600978336827393
logistic,2026-01-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.7133621171785867,0.5909669101705217,0.0652701391135554,0.3911778962675715,0.1648085312651478,0.0461510928167155,0.076062639821029
logistic,2026-01-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.6018939676385057,0.6525525986734084,0.06910937783421,0.6479591836734694,0.2091836734693877,0.0438446051748564,0.0917225950782997
logistic,2026-01-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.6706038579815488,0.7279378066512893,0.0598290598290598,0.6624857468643102,0.2930444697833523,0.0306471903830025,0.0898287312128626
logistic,2026-01-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.6706038579815488,0.7279378066512893,0.0598290598290598,0.6624857468643102,0.2930444697833523,0.0306471903830025,0.0898287312128626
logistic,2025-12-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.6714076041375454,0.7171886171836289,0.0624935440553661,0.6491416309012875,0.2843347639484979,0.0325691920603858,0.0926249563089828
logistic,2026-01-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.696449743853605,0.627200556184399,0.071311475409836,0.4638875424139602,0.1754726126999515,0.0461510928167155,0.0809843400447427
logistic,2026-01-15,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.7103592621555729,0.6338061700914895,0.0551149563406232,0.4629878869448183,0.1823687752355316,0.0341782050692304,0.0623418449505406
logistic,2026-02-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.7239621787696192,0.6209282599280751,0.0562713647120694,0.4382252559726962,0.1931740614334471,0.034891752209017,0.0674130538351596
xgboost,2025-12-01,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.9070799552697792,0.7290172566791496,0.105166895290352,0.2467811158798283,0.2993562231759656,0.0325691920603858,0.0975183502271933
